PM2.5,AQI
83.13,209.0
79.84,328.0
94.52,514.0
135.99,782.0
178.33,914.0
139.7,660.0
80.65,294.0
58.36,149.0
79.29,190.0
88.7,247.0
74.28,379.0
113.93,341.0
105.39,256.0
66.52,388.0
65.04,288.0
103.36,510.0
177.33,761.0
113.25,475.0
99.7,536.0
80.61,479.0
100.79,592.0
107.99,427.0
140.29,588.0
239.96,1141.0
142.96,669.0
238.41,1247.0
118.72,411.0
52.99,292.0
60.78,189.0
91.83,408.0
93.88,383.0
173.01,780.0
71.56,190.0
119.8,233.0
106.71,297.0
118.49,330.0
106.01,252.0
97.34,244.0
83.92,234.0
49.51,219.0
30.76,118.0
50.29,231.0
57.69,286.0
105.06,883.0
94.1,720.0
111.89,570.0
108.59,589.0
130.76,818.0
143.55,737.0
165.07,585.0
166.85,616.0
147.38,437.0
158.25,321.0
237.76,372.0
133.37,339.0
133.3,339.0
96.04,324.0
77.69,222.0
53.07,169.0
63.11,220.0
120.96,303.0
138.63,314.0
144.36,378.0
85.03,415.0
61.06,126.0
39.42,175.0
111.86,226.0
58.37,244.0
95.37,315.0
141.3,678.0
106.68,774.0
109.48,285.0
126.04,321.0
71.22,358.0
97.87,357.0
63.38,189.0
80.9,214.0
103.29,253.0
107.5,239.0
138.42,300.0
129.04,317.0
96.65,240.0
126.77,344.0
106.15,503.0
86.31,308.0
83.99,227.0
65.11,120.0
51.03,158.0
38.73,177.0
61.12,201.0
58.44,211.0
61.49,221.0
65.39,233.0
100.92,481.0
97.48,352.0
129.27,327.0
129.58,577.0
100.57,411.0
130.34,212.0
53.24,280.0
42.0,162.0
83.69,569.0
38.88,128.0
46.89,129.0
70.96,152.0
53.66,176.0
45.49,167.0
60.86,106.0
51.93,231.0
77.87,327.0
57.59,174.0
77.22,185.0
45.29,179.0
103.78,211.0
25.14,192.0
87.03,310.0
89.6,223.0
80.69,192.0
44.75,191.0
38.11,184.0
45.5,220.0
36.98,215.0
43.58,226.0
45.49,251.0
38.06,216.0
45.41,237.0
37.71,198.0
32.37,195.0
34.74,187.0
32.56,181.0
29.28,179.0
20.46,188.0
26.07,190.0
21.43,185.0
11.91,189.0
57.75,196.0
66.39,201.0
62.61,231.0
47.5,196.0
111.8,220.0
30.0,244.0
4.66,223.0
48.72,230.0
49.7,243.0
48.1,215.0
47.43,199.0
51.74,200.0
42.68,226.0
38.45,241.0
46.69,222.0
55.27,223.0
149.03,248.0
86.57,300.0
111.77,232.0
151.4,330.0
51.35,223.0
65.37,105.0
56.28,101.0
48.17,93.0
33.56,67.0
31.3,60.0
57.11,90.0
34.72,78.0
29.22,48.0
29.79,53.0
59.95,91.0
19.2,70.0
19.52,157.0
35.16,158.0
33.03,169.0
40.95,174.0
40.29,173.0
41.16,172.0
36.12,190.0
28.51,171.0
31.59,168.0
42.56,172.0
48.12,173.0
37.09,175.0
33.4,179.0
38.64,174.0
40.49,176.0
41.37,179.0
44.56,175.0
65.68,177.0
33.34,175.0
39.17,174.0
34.0,179.0
36.38,177.0
38.35,180.0
38.5,274.0
39.61,310.0
61.79,303.0
43.22,302.0
33.41,302.0
36.9,302.0
36.36,302.0
32.64,302.0
38.23,302.0
39.86,301.0
72.74,302.0
43.2,302.0
63.2,302.0
64.73,302.0
65.28,301.0
67.86,302.0
52.4,301.0
33.33,302.0
29.52,301.0
15.53,301.0
50.24,226.0
61.77,276.0
46.93,209.0
43.01,179.0
42.06,197.0
44.94,229.0
29.58,170.0
32.15,164.0
36.33,195.0
24.46,220.0
59.29,217.0
65.32,254.0
47.39,241.0
43.88,244.0
28.35,243.0
3.59,244.0
3.04,327.0
19.14,390.0
69.12,231.0
76.41,396.0
102.49,731.0
127.94,466.0
87.18,230.0
99.73,309.0
84.15,519.0
92.12,397.0
94.02,517.0
150.27,653.0
118.91,355.0
91.41,227.0
95.9,316.0
137.87,536.0
90.71,370.0
108.68,551.0
98.79,393.0
145.75,671.0
179.43,969.0
170.52,471.0
203.4,529.0
64.66,213.0
78.14,297.0
100.17,605.0
147.35,691.0
206.89,971.0
89.64,270.0
51.72,188.0
54.59,114.0
46.5,143.0
147.18,557.0
207.13,536.0
191.01,354.0
192.35,381.0
127.64,355.0
27.29,272.0
41.43,253.0
30.16,256.0
29.42,257.0
20.87,213.0
35.08,218.0
40.23,214.0
54.25,207.0
49.04,169.0
38.13,1842.0
36.47,72.0
40.9,91.0
34.19,124.0
32.92,145.0
41.39,499.0
31.71,557.0
33.48,114.0
30.8,148.0
30.47,99.0
34.64,117.0
43.71,275.0
46.52,183.0
36.54,336.0
36.87,468.0
46.19,776.0
48.44,805.0
40.18,705.0
33.5,740.0
29.36,751.0
44.59,798.0
