"AQI_Bucket","PM2.5","AQI"
"Moderate","60.78","189"
"Good","5.92","20"
"","73.24",""
"Poor","83.13","209"
"Very Poor","79.84","328"
"Severe","94.52","514"
"Severe","135.99","782"
"Severe","178.33","914"
"Severe","139.7","660"
"Poor","80.65","294"
"Moderate","58.36","149"
"Moderate","79.29","190"
"Poor","88.7","247"
"Very Poor","74.28","379"
"Very Poor","113.93","341"
"Poor","105.39","256"
"Very Poor","66.52","388"
"Poor","65.04","288"
"Severe","103.36","510"
"Severe","177.33","761"
"Severe","113.25","475"
"Severe","99.7","536"
"Severe","80.61","479"
"Severe","100.79","592"
"Severe","107.99","427"
"Severe","140.29","588"
"Severe","239.96","1141"
"Severe","142.96","669"
"Severe","238.41","1247"
"Severe","118.72","411"
"Poor","52.99","292"
"","",""
"","",""
"","",""
"","61.12",""
"Severe","91.83","408"
"Very Poor","93.88","383"
"Severe","173.01","780"
"","",""
"","105.45",""
"Moderate","71.56","190"
"Poor","119.8","233"
"Poor","106.71","297"
"Very Poor","118.49","330"
"Poor","106.01","252"
"Poor","97.34","244"
"Poor","83.92","234"
"Poor","49.51","219"
"Moderate","30.76","118"
"Poor","50.29","231"
"Poor","57.69","286"
"Severe","105.06","883"
"Severe","94.1","720"
"Severe","111.89","570"
"Severe","108.59","589"
"Severe","130.76","818"
"Severe","143.55","737"
"Severe","165.07","585"
"Severe","166.85","616"
"Severe","147.38","437"
"Very Poor","158.25","321"
"Very Poor","237.76","372"
"Very Poor","133.37","339"
"Very Poor","133.3","339"
"Very Poor","96.04","324"
"Poor","77.69","222"
"Moderate","53.07","169"
"Poor","63.11","220"
"","156.76",""
"Very Poor","120.96","303"
"Very Poor","138.63","314"
"Very Poor","144.36","378"
"Severe","85.03","415"
"","134.6",""
"Moderate","61.06","126"
"Moderate","39.42","175"
"Poor","111.86","226"
"Poor","58.37","244"
"Very Poor","95.37","315"
"Severe","141.3","678"
"Severe","106.68","774"
"Poor","109.48","285"
"Very Poor","126.04","321"
"Very Poor","71.22","358"
"Very Poor","97.87","357"
"Moderate","63.38","189"
"","75.29",""
"Poor","80.9","214"
"Poor","103.29","253"
"Poor","107.5","239"
"","161.14",""
"","102.58",""
"Poor","138.42","300"
"Very Poor","129.04","317"
"Poor","96.65","240"
"Very Poor","126.77","344"
"Severe","106.15","503"
"Very Poor","86.31","308"
"Poor","83.99","227"
"Moderate","65.11","120"
"Moderate","51.03","158"
"Moderate","38.73","177"
"Poor","61.12","201"
"Poor","58.44","211"
"Poor","61.49","221"
"Poor","65.39","233"
"Severe","100.92","481"
"Very Poor","97.48","352"
"Very Poor","129.27","327"
"Severe","129.58","577"
"Severe","100.57","411"
"Poor","130.34","212"
"Poor","53.24","280"
"Moderate","42","162"
"","50.1",""
"Severe","83.69","569"
"Moderate","38.88","128"
"Moderate","46.89","129"
"Moderate","70.96","152"
"Moderate","53.66","176"
"Moderate","45.49","167"
"Moderate","60.86","106"
"Poor","51.93","231"
"Very Poor","77.87","327"
"Moderate","57.59","174"
"Moderate","77.22","185"
"Moderate","45.29","179"
"Poor","103.78","211"
"Moderate","25.14","192"
"Very Poor","87.03","310"
"Poor","89.6","223"
"Moderate","80.69","192"
"Moderate","44.75","191"
"Moderate","38.11","184"
"Poor","45.5","220"
"Poor","36.98","215"
"Poor","43.58","226"
"Poor","45.49","251"
"Poor","38.06","216"
"Poor","45.41","237"
"Moderate","37.71","198"
"Moderate","32.37","195"
"Moderate","34.74","187"
"Moderate","32.56","181"
"Moderate","29.28","179"
"Moderate","20.46","188"
"Moderate","26.07","190"
"Moderate","21.43","185"
"Moderate","11.91","189"
"Moderate","57.75","196"
"Poor","66.39","201"
"Poor","62.61","231"
"Moderate","47.5","196"
"Poor","111.8","220"
"Poor","30","244"
"Poor","4.66","223"
"Poor","48.72","230"
"Poor","49.7","243"
"Poor","48.1","215"
"Moderate","47.43","199"
"Moderate","51.74","200"
"Poor","42.68","226"
"Poor","38.45","241"
"Poor","46.69","222"
"Poor","55.27","223"
"Poor","149.03","248"
"Poor","86.57","300"
"Poor","111.77","232"
"Very Poor","151.4","330"
"Poor","51.35","223"
"Moderate","65.37","105"
"Moderate","56.28","101"
"Satisfactory","48.17","93"
"Satisfactory","33.56","67"
"Satisfactory","31.3","60"
"","48.12",""
"Satisfactory","57.11","90"
"Satisfactory","34.72","78"
"Good","29.22","48"
"Satisfactory","29.79","53"
"Satisfactory","59.95","91"
"Satisfactory","19.2","70"
"Moderate","19.52","157"
"Moderate","35.16","158"
"Moderate","33.03","169"
"Moderate","40.95","174"
"Moderate","40.29","173"
"Moderate","41.16","172"
"Moderate","36.12","190"
"Moderate","28.51","171"
"Moderate","31.59","168"
"Moderate","42.56","172"
"Moderate","48.12","173"
"Moderate","37.09","175"
"Moderate","33.4","179"
"Moderate","38.64","174"
"Moderate","40.49","176"
"Moderate","41.37","179"
"Moderate","44.56","175"
"Moderate","65.68","177"
"Moderate","33.34","175"
"Moderate","39.17","174"
"Moderate","34","179"
"Moderate","36.38","177"
"Moderate","38.35","180"
"Poor","38.5","274"
"Very Poor","39.61","310"
"Very Poor","61.79","303"
"Very Poor","43.22","302"
"Very Poor","33.41","302"
"Very Poor","36.9","302"
"Very Poor","36.36","302"
"Very Poor","32.64","302"
"Very Poor","38.23","302"
"Very Poor","39.86","301"
"Very Poor","72.74","302"
"Very Poor","43.2","302"
"Very Poor","63.2","302"
"Very Poor","64.73","302"
"Very Poor","65.28","301"
"Very Poor","67.86","302"
"Very Poor","52.4","301"
"Very Poor","33.33","302"
"Very Poor","29.52","301"
"Very Poor","15.53","301"
"","57.51",""
"Poor","50.24","226"
"Poor","61.77","276"
"Poor","46.93","209"
"Moderate","43.01","179"
"Moderate","42.06","197"
"Poor","44.94","229"
"Moderate","29.58","170"
"Moderate","32.15","164"
"Moderate","36.33","195"
"Poor","24.46","220"
"","",""
"","27.08",""
"Poor","59.29","217"
"Poor","65.32","254"
"Poor","47.39","241"
"Poor","43.88","244"
"Poor","28.35","243"
"Poor","3.59","244"
"Very Poor","3.04","327"
"Very Poor","19.14","390"
"Poor","69.12","231"
"Very Poor","76.41","396"
"Severe","102.49","731"
"Severe","127.94","466"
"Poor","87.18","230"
"Very Poor","99.73","309"
"Severe","84.15","519"
"Very Poor","92.12","397"
"Severe","94.02","517"
"Severe","150.27","653"
"Very Poor","118.91","355"
"Poor","91.41","227"
"Very Poor","95.9","316"
"Severe","137.87","536"
"Very Poor","90.71","370"
"Severe","108.68","551"
"Very Poor","98.79","393"
"Severe","145.75","671"
"Severe","179.43","969"
"Severe","170.52","471"
"Severe","203.4","529"
"","92.71",""
"Poor","64.66","213"
"Poor","78.14","297"
"Severe","100.17","605"
