"Q90201","q_affirmative","q_applicable"
"Secondary","98","101"
"Secondary","108","108"
"Secondary","101","102"
"Elementary","119","123"
"Diploma/associate degree","97","97"
"Secondary","117","120"
"Preparatory","102","102"
"Secondary","122","123"
"Preparatory","97","98"
"Higher education","128","129"
"Refuse to answer (do not read)","108","110"
"Bachelor","98","100"
"Preparatory","112","112"
"Secondary","112","114"
"Preparatory","103","103"
"Bachelor","113","114"
"Preparatory","119","119"
"Secondary","96","99"
"Secondary","111","115"
"Preparatory","118","118"
"Preparatory","126","127"
"Secondary","107","107"
"Preparatory","103","103"
"Diploma/associate degree","124","124"
"Elementary","105","107"
"Secondary","134","136"
"Secondary","119","121"
"Secondary","134","137"
"Secondary","105","107"
"Secondary","95","95"
"Secondary","97","97"
"Diploma/associate degree","118","118"
"Preparatory","87","94"
"Elementary","83","90"
"Bachelor","106","106"
"Illiterate (cannot read and write)","95","111"
"Preparatory","114","114"
"Secondary","109","110"
"Diploma/associate degree","125","125"
"Secondary","112","113"
"Diploma/associate degree","92","98"
"Secondary","114","115"
"Refuse to answer (do not read)","112","115"
"Secondary","126","128"
"Secondary","98","98"
"Preparatory","103","103"
"Secondary","102","102"
"Diploma/associate degree","102","113"
"Higher education","85","100"
"Bachelor","132","134"
"Elementary","96","97"
"Secondary","110","110"
"Secondary","92","93"
"Secondary","105","119"
"Bachelor","104","109"
"Elementary","86","96"
"Elementary","99","102"
"Secondary","99","101"
"Secondary","109","109"
"Secondary","121","121"
"Bachelor","128","133"
"Diploma/associate degree","112","118"
"Secondary","111","111"
"Secondary","104","105"
"Secondary","95","97"
"Preparatory","96","97"
"Secondary","94","97"
"Preparatory","95","95"
"Preparatory","96","97"
"Bachelor","112","114"
"Preparatory","111","111"
"Preparatory","119","119"
"Secondary","101","101"
"Bachelor","94","95"
"Preparatory","96","96"
"Secondary","96","96"
"Bachelor","117","120"
"Bachelor","102","103"
"Secondary","102","102"
"Diploma/associate degree","110","113"
"Preparatory","95","98"
"Secondary","129","129"
"Bachelor","112","112"
"Secondary","114","114"
"Bachelor","104","104"
"Secondary","96","96"
"Secondary","109","109"
"Preparatory","109","110"
"Diploma/associate degree","121","121"
"Secondary","119","119"
"Bachelor","113","113"
"Bachelor","97","98"
"Elementary","114","114"
"Secondary","93","95"
"Secondary","97","97"
"Bachelor","116","119"
"Secondary","93","97"
"Secondary","114","115"
"Secondary","96","97"
"Secondary","100","100"
"Secondary","96","101"
"Secondary","101","106"
"Preparatory","91","97"
"Secondary","96","101"
"Secondary","111","111"
"Preparatory","111","113"
"Preparatory","117","118"
"Secondary","103","103"
"Preparatory","100","100"
"Secondary","112","113"
"Bachelor","118","118"
"Bachelor","81","96"
"Secondary","107","113"
"Bachelor","109","109"
"Secondary","117","117"
"Secondary","82","94"
"Elementary","103","103"
"Secondary","127","127"
"Secondary","101","101"
"Secondary","97","98"
"Diploma/associate degree","83","108"
"Secondary","120","120"
"Secondary","89","97"
"Secondary","112","113"
"Bachelor","99","99"
"Preparatory","114","115"
"Secondary","99","100"
"Bachelor","87","103"
"Bachelor","115","117"
"Secondary","87","92"
"Bachelor","127","127"
"Secondary","86","93"
"Secondary","67","94"
"Preparatory","100","100"
"Diploma/associate degree","94","95"
