"Q50101","crucial_applicable","crucial_affirmative"
"Savings","4","4"
"Savings","10","10"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","16","15"
"Savings","4","4"
"Loan from commercial bank","16","15"
"The company generates enough money to sustain itself","4","4"
"Loan from commercial bank","21","18"
"Loan from friends","4","1"
"Loan from family","15","15"
"The company generates enough money to sustain itself","14","14"
"The company generates enough money to sustain itself","4","1"
"Loan from commercial bank","10","10"
"The company generates enough money to sustain itself","16","15"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","11","10"
"The company generates enough money to sustain itself","16","16"
"The company generates enough money to sustain itself","4","4"
"Savings","16","15"
"The company generates enough money to sustain itself","15","15"
"The company generates enough money to sustain itself","22","22"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","16","16"
"Loan from family","14","11"
"Loan from commercial bank","21","19"
"The company generates enough money to sustain itself","16","14"
"Loan from commercial bank","21","16"
"The company generates enough money to sustain itself","16","12"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","14","14"
"Don’t know (do not read)","4","1"
"Don’t know (do not read)","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","10","7"
"The company generates enough money to sustain itself","10","10"
"The company generates enough money to sustain itself","4","1"
"Savings","19","19"
"Loan from commercial bank","15","14"
"Don’t know (do not read)","4","4"
"The company generates enough money to sustain itself","16","15"
"The company generates enough money to sustain itself","16","15"
"The company generates enough money to sustain itself","21","20"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"Savings","4","4"
"Don’t know (do not read)","16","15"
"Savings","4","1"
"Loan from commercial bank","22","18"
"The company generates enough money to sustain itself","4","4"
"Savings","4","4"
"Savings","4","1"
"Loan from commercial bank","10","10"
"The company generates enough money to sustain itself","15","15"
"Don’t know (do not read)","4","4"
"Savings","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","10","10"
"Loan from microfinance institution","10","10"
"The company generates enough money to sustain itself","22","21"
"Don’t know (do not read)","15","15"
"Savings","4","4"
"Savings","4","1"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","14","11"
"The company generates enough money to sustain itself","14","14"
"The company generates enough money to sustain itself","14","14"
"Loan from family","4","4"
"Savings","4","1"
"The company generates enough money to sustain itself","4","4"
"Loan from family","4","4"
"The company generates enough money to sustain itself","16","14"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","16","14"
"Don’t know (do not read)","4","4"
"Loan from commercial bank","10","10"
"Loan from commercial bank","10","10"
"The company generates enough money to sustain itself","16","16"
"Other","4","4"
"Loan from family","4","4"
"Loan from commercial bank","10","10"
"The company generates enough money to sustain itself","16","16"
"Loan from family","16","16"
"Savings","10","10"
"The company generates enough money to sustain itself","16","16"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","16","16"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"Loan from commercial bank","22","22"
"The company generates enough money to sustain itself","4","1"
"The company generates enough money to sustain itself","15","12"
"Other","4","4"
"Savings","4","4"
"Other","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","1"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","10","10"
"The company generates enough money to sustain itself","15","15"
"The company generates enough money to sustain itself","15","15"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","16","16"
"Loan from family","4","4"
"The company generates enough money to sustain itself","14","11"
"The company generates enough money to sustain itself","10","10"
"The company generates enough money to sustain itself","15","15"
"Don’t know (do not read)","4","0"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","16","16"
"Savings","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","16","15"
"Loan from family","14","14"
"Loan from family","4","3"
"The company generates enough money to sustain itself","15","15"
"The company generates enough money to sustain itself","4","4"
"Loan from friends","14","14"
"Refuse to answer (do not read)","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","10","7"
"Don’t know (do not read)","4","1"
"The company generates enough money to sustain itself","15","15"
"The company generates enough money to sustain itself","3","3"
"The company generates enough money to sustain itself","4","4"
"Savings","4","4"
"Refuse to answer (do not read)","4","4"
"Refuse to answer (do not read)","4","4"
"The company generates enough money to sustain itself","16","15"
"The company generates enough money to sustain itself","15","15"
"The company generates enough money to sustain itself","14","11"
"Loan from friends","4","4"
"The company generates enough money to sustain itself","16","16"
"The company generates enough money to sustain itself","4","1"
"Loan from commercial bank","19","16"
"The company generates enough money to sustain itself","14","11"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","15","15"
"The company generates enough money to sustain itself","15","15"
"Other","16","12"
"Other","10","10"
"The company generates enough money to sustain itself","16","16"
"Savings","4","4"
"The company generates enough money to sustain itself","16","16"
"Other","10","10"
"The company generates enough money to sustain itself","4","4"
"Loan from family","22","20"
"Loan from family","10","10"
"The company generates enough money to sustain itself","14","14"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"Other","4","4"
"Loan from family","16","15"
"The company generates enough money to sustain itself","4","1"
"Don’t know (do not read)","4","4"
"Other","4","4"
"Don’t know (do not read)","4","4"
"Loan from family","10","10"
"Loan from friends","16","12"
"The company generates enough money to sustain itself","4","1"
"Other","4","1"
"Don’t know (do not read)","4","4"
"Other","4","1"
"The company generates enough money to sustain itself","4","1"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","1"
"The company generates enough money to sustain itself","4","1"
"The company generates enough money to sustain itself","15","12"
"The company generates enough money to sustain itself","4","1"
"The company generates enough money to sustain itself","4","1"
"The company generates enough money to sustain itself","4","4"
"The company generates enough money to sustain itself","4","1"
"The company generates enough money to sustain itself","4","1"
