"Operator","Aboard","Fatalities"
"Military - U.S. Army","2","1"
"Military - U.S. Navy","5","5"
"Private","1","1"
"Military - German Navy","20","14"
"Military - German Navy","30","30"
"Military - German Navy","41","21"
"Military - German Navy","19","19"
"Military - German Army","20","20"
"Military - German Navy","22","22"
"Military - German Navy","19","19"
"Military - German Army","28","27"
"Military - German Navy","20","20"
"Military - German Army","20","20"
"Military - German Navy","23","23"
"Military - German Navy","21","21"
"Military - German Navy","24","24"
"Military - German Navy","18","18"
"Military - German Navy","18","18"
"Military - German Navy","23","23"
"Military - German Navy","22","22"
"Military - German Navy","19","19"
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","1","1"
"Aircraft Transport and Travel","1","1"
"US Aerial Mail Service","1","1"
"Aircraft Transport and Travel","",""
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","2","1"
"US Aerial Mail Service","2","1"
"US Aerial Mail Service","2","1"
"US Aerial Mail Service","1","1"
"By Air","1","1"
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","2","2"
"US Aerial Mail Service","2","2"
"US Aerial Mail Service","1","1"
"Latecoere Airlines","2","2"
"Latecoere Airlines","2","2"
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","1","1"
"Handley Page Transport","8","4"
"Aeropostale","1","1"
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","3","3"
"Aeropostale","2","2"
"US Aerial Mail Service","1","1"
"Military - Royal Australian Air Force","2","1"
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","1","1"
"Aeropostale","2","2"
"Military - Royal Airship Works","46","46"
"Franco-Roumaine","5","5"
"West Australian Airways","3","3"
"Handley Page Transport","5","5"
"Military - U.S. Army Air Service","45","34"
"Daimler Airways / Grands Express Aeriens","7","7"
"","17","17"
"Vickers","3","3"
"US Aerial Mail Service","1","1"
"Cie des Messageries Aeriennes","3","3"
"Grands Express Aeriens","3","3"
"US Aerial Mail Service","1","1"
"","4","4"
"Grands Express Aeriens","2","2"
"Grands Express Aeriens","1","1"
"Amee de l'Air","4","3"
"Grands Express Aeriens","1","1"
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","1","1"
"Grands Express Aeriens","6","6"
"Campagnie France Roumaine","2","2"
"US Aerial Mail Service","1","1"
"Daimler Airways","6","6"
"CCCP","4","2"
"US Aerial Mail Service","1","1"
"Military - French Navy","52","52"
"US Aerial Mail Service","1","1"
"US Aerial Mail Service","1","1"
"KLM Royal Dutch Airlines","3","3"
"SCADTA","3","3"
"US Aerial Mail Service","1","1"
"Grands Express Aeriens","1","1"
"US Aerial Mail Service","1","1"
"Imperial Airways","8","8"
"Zakavia","5","5"
"Grands Express Aeriens","4","4"
"Lignes Aeriennes Latecoere","2","2"
"KLM Royal Dutch Airlines","4","4"
"Grands Express Aeriens","2","2"
"Lignes Aeriennes Latecoere","1","1"
"CIDNA","1","1"
"Military - U.S. Navy","43","14"
"CIDNA","3","3"
"Air Union","2","2"
"US Aerial Mail Service","1","1"
"Deutche Lufthansa","1","1"
"Air Union","1","1"
"Compagnie Internationale de Navigation Aérienne","7","7"
"KLM Royal Dutch Airlines","2","2"
"Deutsche Lufthansa","4","4"
"Air Union","4","4"
"","5","2"
"Deutsche Lufthansa","4","4"
"Imperial Airways","12","0"
"Grands Express Aeriens","3","3"
"PacifiAir Transport","1","1"
"KLM Royal Dutch Airlines","2","2"
"Grands Express Aeriens","1","1"
"Qantas","3","3"
"Varney Air Lines","1","1"
"US Aerial Mail Service","1","1"
"Deutsche Lufthansa","2","2"
"Air Union","3","1"
"Deutsche Lufthansa","5","5"
"KLM Royal Dutch Airlines","11","1"
"Colonial Air Transport","1","1"
"Reynolds Airways","12","7"
"Deutsche Lufthansa","4","2"
"Deutsche Lufthansa","6","6"
"Lignes Aeriennes Latecoere","2","2"
"Colonial Air Transport","4","4"
"CIDNA","1","1"
"Aero O-Y","6","6"
"National Air Transport","1","1"
"Aeropostale","2","2"
"Aeropostale","1","1"
"Latecoere Airlines","4","4"
"Colonial Western Airlines","3","3"
"Aeropostale","2","2"
"Aeropostale","2","2"
"Aeropostale","2","1"
"Aeropostale","1","1"
"Boeing Air Transport","2","1"
"","10","10"
"Air Union","2","2"
"Boeing Air Transport","2","1"
"Iberia Airlines","9","9"
"Aeropostale","1","1"
"Ford Air Freight Inc.","2","2"
"Deutsche Lufthansa","5","3"
"Deutsche Lufthansa","5","5"
"National Air Transport","1","1"
"Aero O-Y","6","6"
"Imperial Airways","4","4"
"KLM Royal Dutch Airlines","1","1"
"British Columbia Airways","7","7"
"CIDNA","3","3"
"Qantas","2","1"
"National Parks Airways","7","7"
"Deutsche Lufthansa","3","3"
"Aeropostale","3","3"
"National Air Transport","1","1"
"Air Union","2","1"
"Aeropostale","2","1"
"Universal Airlines","3","3"
"National Air Transport","1","1"
